"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"16.04.2024","2.397,84","2.403,34","2.411,90","2.392,30","","-0,14%"
"15.04.2024","2.401,32","2.443,56","2.453,65","2.397,97","","-1,30%"
"12.04.2024","2.432,83","2.454,36","2.456,62","2.425,59","","-1,42%"
"11.04.2024","2.467,76","2.448,27","2.472,71","2.433,01","","1,07%"
"10.04.2024","2.441,59","2.439,83","2.447,71","2.430,41","","-0,70%"
"09.04.2024","2.458,83","2.463,52","2.466,21","2.434,81","","0,09%"
"08.04.2024","2.456,62","2.462,77","2.466,45","2.453,01","","-0,11%"
"05.04.2024","2.459,30","2.437,37","2.468,94","2.435,62","","1,19%"
"04.04.2024","2.430,40","2.478,57","2.484,80","2.430,25","","-1,29%"
"03.04.2024","2.462,25","2.454,41","2.471,86","2.454,41","","0,06%"
"02.04.2024","2.460,82","2.453,83","2.462,50","2.448,01","","-0,66%"
"01.04.2024","2.477,14","2.480,75","2.487,75","2.467,61","","-0,07%"
"28.03.2024","2.478,85","2.476,39","2.483,99","2.473,99","","0,00%"
"27.03.2024","2.478,82","2.473,49","2.479,21","2.462,53","","0,66%"
"26.03.2024","2.462,46","2.476,95","2.479,59","2.462,40","","-0,36%"
"25.03.2024","2.471,47","2.469,30","2.476,60","2.466,17","","-0,32%"
"22.03.2024","2.479,42","2.477,87","2.485,67","2.474,53","","0,06%"
"21.03.2024","2.477,85","2.490,01","2.492,14","2.476,92","","0,05%"
"20.03.2024","2.476,60","2.455,99","2.476,60","2.448,91","","0,96%"
"19.03.2024","2.453,11","2.433,14","2.454,14","2.426,44","","0,56%"
"18.03.2024","2.439,52","2.443,25","2.454,83","2.437,60","","0,81%"
"15.03.2024","2.420,03","2.424,40","2.430,11","2.413,00","","-0,85%"
"14.03.2024","2.440,66","2.449,40","2.451,49","2.428,46","","-0,07%"
"13.03.2024","2.442,43","2.446,58","2.448,79","2.435,94","","-0,24%"
"12.03.2024","2.448,24","2.424,50","2.450,40","2.413,87","","1,43%"
"11.03.2024","2.413,74","2.411,38","2.418,39","2.402,85","","-0,16%"
